Python,291
SQL,179
REST,128
API,174
GIT,119
Django,119
docker,141
Postgresql,104
JS,53
JavaScript,29
AWS,124
Flask,71
HTML,29
redis,67
linux,75
fullstack,2
Artificial intelligence,13
 AI ,22
MySQL,33
OOP,47
react,43
CSS,28
MongoDB,34
FastAPI,40
DRF,19
Machine Learning,42
angular,19
NoSQL,42
pytest,18
networking,18
SQLAlchemy,19
microservice,55
pandas,14
algorithms,29
aiohttp,19
Azure,36
Graphql,4
asyncio,11
unittest,7
beautifulsoup,4
unix,12
Tornado,10
opencv,4
numpy,6
multiprocessing,6
SQLite,3
requests,9
scraping,4
regex,1
