Python,75
SQL,50
REST,31
API,44
GIT,34
Django,35
docker,38
Postgresql,34
JS,16
JavaScript,10
AWS,25
Flask,21
HTML,16
redis,19
linux,24
 AI ,3
MySQL,13
OOP,13
react,6
CSS,13
MongoDB,10
FastAPI,10
DRF,7
Machine Learning,8
angular,5
NoSQL,14
pytest,7
networking,6
SQLAlchemy,5
microservice,4
pandas,5
algorithms,5
aiohttp,6
Azure,7
Graphql,2
asyncio,3
beautifulsoup,3
unix,4
Tornado,3
opencv,2
numpy,3
multiprocessing,1
SQLite,2
requests,2
scraping,1
regex,1
