 AI ,8
API,83
AWS,53
Artificial intelligence,5
Azure,10
CSS,9
DRF,10
Django,55
FastAPI,21
Flask,40
GIT,44
Graphql,2
HTML,8
 JS ,1
JavaScript,16
Machine Learning,14
MongoDB,19
MySQL,12
NoSQL,14
OOP,23
Postgresql,46
Python,118
REST,53
SQL,80
SQLAlchemy,11
SQLite,2
Tornado,2
aiohttp,9
algorithms,11
angular,5
asyncio,5
beautifulsoup,1
docker,59
fullstack,2
linux,31
microservice,24
multiprocessing,2
networking,5
numpy,2
opencv,1
pandas,6
pytest,6
react,20
redis,34
requests,3
scraping,3
unittest,1
unix,3
